City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bondo,3.8146,23.6866,22.56,83,100,1.27,CD,1723062199
83,salalah,17.0151,54.0924,25.05,100,100,1.54,OM,1723062200
84,rio grande,-32.035,-52.0986,16.06,90,100,3.06,BR,1723062108
85,freetown,8.484,-13.2299,25.84,83,75,8.23,SL,1723062203
86,sos'va,59.1766,61.8558,8.91,93,70,1.86,RU,1723062204
87,loango,-4.6719,11.8312,21.81,94,85,2.06,CG,1723062205
88,villa gesell,-37.2639,-56.973,9.1,88,100,10.06,AR,1723061998
89,puerto baquerizo moreno,-0.9,-89.6,21.55,94,75,6.17,EC,1723062208
90,hilo,19.7297,-155.09,28.3,76,40,3.6,US,1723061936
91,susuman,62.7833,148.1667,9.87,80,100,1.05,RU,1723061923
92,vernon,50.2581,-119.2691,30.42,23,2,0.51,CA,1723062213
93,vila franca do campo,37.7167,-25.4333,24.23,85,87,3.13,PT,1723062215
94,sault ste. marie,46.5168,-84.3333,25.9,49,75,3.09,CA,1723061939
95,south lockport,43.1501,-78.6967,26.59,54,1,2.68,US,1723062217
96,olonkinbyen,70.9221,-8.7187,6.17,100,100,4.14,SJ,1723062219
97,caleta de carquin,-11.0925,-77.6267,18.6,76,36,5.82,PE,1723062220
98,north bend,43.4065,-124.2243,26.26,72,0,11.32,US,1723062222
99,tsiombe,-25.3,45.4833,20.46,75,90,6.45,MG,1723062223
100,tura,25.5198,90.2201,24.3,97,100,3.23,IN,1723062224
101,santiago de cao,-7.9589,-79.2392,17.07,88,75,5.14,PE,1723062226
102,alta,69.9689,23.2717,19.59,42,0,1.54,NO,1723062227
103,constantia,44.1833,28.65,19.38,69,2,1.93,RO,1723062228
104,port alfred,-33.5906,26.891,19.04,38,10,3.03,ZA,1723061962
105,mejit,10.2753,170.8646,27.56,79,100,4.97,MH,1723062231
106,pisco,-13.7,-76.2167,20.03,64,20,6.69,PE,1723061942
107,lata,40.1629,-8.3327,18.93,82,0,1.64,PT,1723062234
108,afaahiti,-17.75,-149.2833,27.93,83,36,8.08,PF,1723062235
109,hasaki,35.7333,140.8333,26.22,91,100,1.71,JP,1723062236
110,glazov,58.1394,52.6584,14.52,97,86,3.15,RU,1723062238
111,tromso,69.6496,18.957,18.01,59,0,0.0,NO,1723062239
112,atafu village,-8.5421,-172.5159,28.51,69,85,8.58,TK,1723062240
113,mahibadhoo,3.7833,72.9667,28.22,73,100,6.53,MV,1723062242
114,carnarvon,-24.8667,113.6333,18.14,78,0,4.39,AU,1723061946
115,isafjordur,66.0755,-23.124,6.53,89,86,2.29,IS,1723062244
116,malanje,-9.5402,16.341,24.26,28,19,1.93,AO,1723062246
117,chernyshevskiy,63.0128,112.4714,10.3,77,9,1.2,RU,1723062247
118,nemuro,43.3236,145.575,17.64,100,100,4.33,JP,1723062248
119,hohhot,40.8106,111.6522,17.16,82,0,2.0,CN,1723062250
120,vorkuta,67.5,64.0,7.34,74,9,2.41,RU,1723062251
121,sarmiento,-45.5882,-69.07,6.55,62,65,3.96,AR,1723062252
122,sulphur,30.2366,-93.3774,36.11,49,0,3.09,US,1723062254
123,college,64.8569,-147.8028,22.47,57,75,0.0,US,1723062005
124,l'ancienne-lorette,46.7939,-71.3519,25.68,40,75,3.09,CA,1723062245
125,kailua-kona,19.6406,-155.9956,28.11,82,40,2.06,US,1723062013
126,west island,-12.1568,96.8225,25.99,78,40,5.66,CC,1723062259
127,queenstown,-31.8976,26.8753,11.77,30,36,2.52,ZA,1723062260
128,arraial do cabo,-22.9661,-42.0278,25.98,73,0,6.17,BR,1723062262
129,chipinge,-20.1883,32.6236,13.53,90,0,2.26,ZW,1723062263
130,puerto deseado,-47.7503,-65.8938,6.1,63,6,7.52,AR,1723062123
131,doma,8.3833,8.35,24.06,89,100,0.46,NG,1723062266
132,mili,6.0815,171.735,26.22,79,100,5.41,MH,1723062267
133,stanley,54.868,-1.6985,15.77,76,20,3.6,GB,1723062268
134,tofol,5.3248,163.0078,28.54,71,86,2.95,FM,1723062270
135,dapa,9.7594,126.0531,27.33,81,100,1.82,PH,1723062271
136,talara,-4.5772,-81.2719,22.42,68,0,8.75,PE,1723061998
